id,name,description,tactic,technique_attack_id,technique_full_name,windows_command,windows_executor,linux_command,linux_executor,darwin_command,darwin_executor,privilege,payloads,cleanup,target_dir,yml_filename,vars,has_hardcoded_abs_paths_hint
<GENERATE_UUIDv4>,Data Compressed,Ability for Data Compressed (ATT&CK T1002). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],exfiltration,T1002,Data Compressed,"type ""#{file_path}"" > NUL",cmd,,,,,,,,stockpile/data/abilities/exfiltration/,T1002__data-compressed.yml,volume,no
<GENERATE_UUIDv4>,Winlogon Helper DLL,Ability for Winlogon Helper DLL (ATT&CK T1004). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],persistence,T1004,Winlogon Helper DLL,schtasks /Query /FO LIST /V,cmd,,,,,,,,stockpile/data/abilities/persistence/,T1004__winlogon-helper-dll.yml,,no
<GENERATE_UUIDv4>,Fallback Channels,Ability for Fallback Channels (ATT&CK T1008). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],command-and-control,T1008,Fallback Channels,"powershell -NoProfile -Command ""Invoke-WebRequest -UseBasicParsing http://#{c2_host}:#{c2_port}/beacon?id=#{paw} -Method GET""",psh,,,,,,,,stockpile/data/abilities/command-and-control/,T1008__fallback-channels.yml,domain;file,no
<GENERATE_UUIDv4>,Binary Padding,Ability for Binary Padding (ATT&CK T1009). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],defense-evasion,T1009,Binary Padding,wevtutil el | findstr /I Security & attrib %USERPROFILE%\*.*,cmd,,,,,,,,stockpile/data/abilities/defense-evasion/,T1009__binary-padding.yml,,no
<GENERATE_UUIDv4>,Exfiltration Over Other Network Medium,Ability for Exfiltration Over Other Network Medium (ATT&CK T1011). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],exfiltration,T1011,Exfiltration Over Other Network Medium,"type ""#{file_path}"" > NUL",cmd,,,,,,,,stockpile/data/abilities/exfiltration/,T1011__exfiltration-over-other-network-medium.yml,input_file;output_file,yes
<GENERATE_UUIDv4>,Port Monitors,Ability for Port Monitors (ATT&CK T1013). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],persistence,T1013,Port Monitors,schtasks /Query /FO LIST /V,cmd,,,,,,,,stockpile/data/abilities/persistence/,T1013__port-monitors.yml,,no
<GENERATE_UUIDv4>,Accessibility Features,Ability for Accessibility Features (ATT&CK T1015). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],persistence,T1015,Accessibility Features,schtasks /Query /FO LIST /V,cmd,,,,,,,,stockpile/data/abilities/persistence/,T1015__accessibility-features.yml,local_file;remote;share_file,no
<GENERATE_UUIDv4>,Application Deployment Software,Ability for Application Deployment Software (ATT&CK T1017). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],lateral-movement,T1017,Application Deployment Software,net view && net use && qwinsta,cmd,,,,,,,,stockpile/data/abilities/lateral-movement/,T1017__application-deployment-software.yml,,no
<GENERATE_UUIDv4>,System Firmware,Ability for System Firmware (ATT&CK T1019). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],persistence,T1019,System Firmware,schtasks /Query /FO LIST /V,cmd,,,,,,,,stockpile/data/abilities/persistence/,T1019__system-firmware.yml,,no
<GENERATE_UUIDv4>,Data Encrypted,Ability for Data Encrypted (ATT&CK T1022). Generated from Atomic Red Team procedures; review and test safely before use. [AUTO-INFERRED SAFE STUB],exfiltration,T1022,Data Encrypted,"type ""#{file_path}"" > NUL",cmd,,,,,,,,stockpile/data/abilities/exfiltration/,T1022__data-encrypted.yml,,no
